SiteID,date,damage_class,damage_status,Governorate,Municipality,Neighborhood,damage_class_desc,is_damaged,damage_level,lon,lat,index_right,system:index,area,building,class,damage_pts,k100,k150,k50,max_change,name,osm_id,osm_type,.geo
26.0,2023-11-26 00:00:00+00:00,1.0,0.0,North Gaza,Jabalya,Ar Rawdah,Destroyed,1,3.0,34.48112032600005,31.519580319000056,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48138755900004,31.51968142700008,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.480909584000074,31.519600256000047,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.482056095000075,31.51881525300007,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48197589100005,31.518698705000077,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.482000664000054,31.518530593000037,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48210320600009,31.518448849000038,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,1.0,0.0,North Gaza,Jabalya,Ar Rawdah,Destroyed,1,3.0,34.48225435000006,31.518715617000055,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,1.0,0.0,North Gaza,Jabalya,Ar Rawdah,Destroyed,1,3.0,34.482452366000075,31.518600880000065,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48256517700008,31.518549225000072,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48449942700006,31.518155102000037,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,1.0,0.0,North Gaza,Jabalya,Ar Rawdah,Destroyed,1,3.0,34.48618192400005,31.519447287000048,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,1.0,0.0,North Gaza,Jabalya,Ar Rawdah,Destroyed,1,3.0,34.48628235000007,31.519528998000055,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.486324953000064,31.51938755000009,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,1.0,0.0,North Gaza,Jabalya,Ar Rawdah,Destroyed,1,3.0,34.48982824800004,31.519078670000056,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48896669900006,31.518593553000073,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.489089353000054,31.51865871800004,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48917799000009,31.518713538000043,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.489382843000044,31.51882285700009,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48958590400008,31.518948307000073,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48971436800008,31.519013404000077,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,2.0,0.0,North Gaza,Jabalya,Ar Rawdah,Severe Damage,1,2.0,34.48927402900006,31.518760753000038,0.0,,,,,,,,,,,,,
26.0,2023-11-26 00:00:00+00:00,1.0,0.0,North Gaza,Jabalya,Ar Rawdah,Destroyed,1,3.0,34.485978027000044,31.51708678300008,0.0,,,,,,,,,,,,,
