filename,url,success,processing_time,date,orbit,skipped
S1A_IW_GRDH_1SDV_20231025T034436_20231025T034501_050916_062340_FA4F.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231025T034436_20231025T034501_050916_062340_FA4F.zip,True,0,20231025,DESC,True
S1A_IW_GRDH_1SDV_20231024T154105_20231024T154130_050909_0622FE_73C5.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231024T154105_20231024T154130_050909_0622FE_73C5.zip,True,0,20231024,ASC,True
S1A_IW_GRDH_1SDV_20231013T034436_20231013T034501_050741_061D47_F325.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231013T034436_20231013T034501_050741_061D47_F325.zip,True,0,20231013,DESC,True
S1A_IW_GRDH_1SDV_20231012T154104_20231012T154129_050734_061D05_072C.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20231012T154104_20231012T154129_050734_061D05_072C.zip,True,0,20231012,ASC,True
S1A_IW_GRDH_1SDV_20230919T034436_20230919T034501_050391_06114C_BDF8.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230919T034436_20230919T034501_050391_06114C_BDF8.zip,True,0,20230919,DESC,True
S1A_IW_GRDH_1SDV_20230918T154105_20230918T154130_050384_06110A_47AC.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230918T154105_20230918T154130_050384_06110A_47AC.zip,True,0,20230918,ASC,True
S1A_IW_GRDH_1SDV_20230907T034436_20230907T034501_050216_060B4C_3E5C.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230907T034436_20230907T034501_050216_060B4C_3E5C.zip,True,0,20230907,DESC,True
S1A_IW_GRDH_1SDV_20230906T154104_20230906T154129_050209_060B15_3BB8.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230906T154104_20230906T154129_050209_060B15_3BB8.zip,True,0,20230906,ASC,True
S1A_IW_GRDH_1SDV_20230814T034434_20230814T034459_049866_05FF61_BBF7.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230814T034434_20230814T034459_049866_05FF61_BBF7.zip,True,0,20230814,DESC,True
S1A_IW_GRDH_1SDV_20230813T154103_20230813T154128_049859_05FF25_C254.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230813T154103_20230813T154128_049859_05FF25_C254.zip,True,0,20230813,ASC,True
S1A_IW_GRDH_1SDV_20230721T034433_20230721T034458_049516_05F443_BF5A.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230721T034433_20230721T034458_049516_05F443_BF5A.zip,True,0,20230721,DESC,True
S1A_IW_GRDH_1SDV_20230720T154101_20230720T154126_049509_05F406_48CA.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230720T154101_20230720T154126_049509_05F406_48CA.zip,True,0,20230720,ASC,True
S1A_IW_GRDH_1SDV_20230627T034431_20230627T034456_049166_05E989_9E71.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230627T034431_20230627T034456_049166_05E989_9E71.zip,True,0,20230627,DESC,True
S1A_IW_GRDH_1SDV_20230626T154059_20230626T154124_049159_05E94B_0553.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230626T154059_20230626T154124_049159_05E94B_0553.zip,True,0,20230626,ASC,True
S1A_IW_GRDH_1SDV_20230603T034430_20230603T034455_048816_05DEDF_69FD.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230603T034430_20230603T034455_048816_05DEDF_69FD.zip,True,0,20230603,DESC,True
S1A_IW_GRDH_1SDV_20230602T154059_20230602T154124_048809_05DEA1_D36D.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230602T154059_20230602T154124_048809_05DEA1_D36D.zip,True,0,20230602,ASC,True
S1A_IW_GRDH_1SDV_20230510T034429_20230510T034454_048466_05D480_D2F1.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230510T034429_20230510T034454_048466_05D480_D2F1.zip,True,0,20230510,DESC,True
S1A_IW_GRDH_1SDV_20230509T154057_20230509T154122_048459_05D442_3CB6.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230509T154057_20230509T154122_048459_05D442_3CB6.zip,True,0,20230509,ASC,True
S1A_IW_GRDH_1SDV_20230416T034428_20230416T034453_048116_05C8D5_7FC1.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230416T034428_20230416T034453_048116_05C8D5_7FC1.zip,True,0,20230416,DESC,True
S1A_IW_GRDH_1SDV_20230415T154056_20230415T154121_048109_05C895_0320.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230415T154056_20230415T154121_048109_05C895_0320.zip,True,0,20230415,ASC,True
S1A_IW_GRDH_1SDV_20230323T034427_20230323T034452_047766_05BD00_D753.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230323T034427_20230323T034452_047766_05BD00_D753.zip,True,0,20230323,DESC,True
S1A_IW_GRDH_1SDV_20230322T154055_20230322T154120_047759_05BCC9_2C53.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230322T154055_20230322T154120_047759_05BCC9_2C53.zip,True,0,20230322,ASC,True
S1A_IW_GRDH_1SDV_20230227T034427_20230227T034452_047416_05B131_7BDC.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230227T034427_20230227T034452_047416_05B131_7BDC.zip,True,0,20230227,DESC,True
S1A_IW_GRDH_1SDV_20230226T154056_20230226T154121_047409_05B0F1_448F.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230226T154056_20230226T154121_047409_05B0F1_448F.zip,True,0,20230226,ASC,True
S1A_IW_GRDH_1SDV_20230203T034428_20230203T034453_047066_05A559_8487.zip,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230203T034428_20230203T034453_047066_05A559_8487.zip,True,0,20230203,DESC,True
